,kmp.id.nospace,mom.id,litter,sex,X3.way,age.months.cont,group.size,location1,am.pm,obs.time.hr,i.aggr.all,Total.monthly.rainfall
1,A,AAA,AAAA,F,Subordinate control,1.2,30,forage,am,0.345,0,9.6
2,B,AAA,AAAA,M,Subordinate control,1.2,30,forage,am,0.34306,2,9.6
3,C,AAA,AAAA,M,Subordinate control,1.2,30,burrow,am,0.04139,0,9.6
4,D,AAA,AAAA,M,Subordinate control,1.2,30,forage,am,0.35361,1,9.6
5,E,AAB,AAAB,F,Dominant control,1,37,burrow,pm,0.105,0,17.599998
6,F,AAB,AAAB,F,Dominant control,1.1,37,burrow,am,0.08972,0,20.399998
7,G,AAB,AAAB,F,Dominant control,1.1,37,burrow,am,0.02778,0,20.399998
8,H,F,AAAC,F,Subordinate control,0.9,13,burrow,pm,0.08944,0,0
9,I,AAC,AAAD,F,Dominant control,1,17,burrow,am,0.08806,0,41.600022
10,J,AAB,AAAB,M,Dominant control,1,37,burrow,pm,0.08167,0,17.599998
11,K,AAB,AAAB,M,Dominant control,1,37,burrow,pm,0.12139,0,17.599998
12,L,F,AAAC,M,Subordinate control,0.9,13,burrow,pm,0.14361,0,0
13,M,AAC,AAAD,M,Dominant control,0.9,17,burrow,am,0.09167,0,41.600022
14,N,AAC,AAAE,M,Dominant treated,1,21,forage,pm,0.2425,4,82.600118
15,O,AAC,AAAE,M,Dominant treated,1,21,forage,am,0.2825,1,78.000117
16,P,AAC,AAAE,M,Dominant treated,1,21,forage,pm,0.10389,0,82.600118
17,Q,F,AAAC,M,Subordinate control,0.9,13,burrow,pm,0.10222,0,0
18,R,AAC,AAAD,M,Dominant control,0.9,17,burrow,am,0.09472,0,41.600022
19,S,AAC,AAAD,M,Dominant control,1.1,17,burrow,pm,0.04861,0,41.600022
20,T,AAC,AAAE,M,Dominant treated,1,21,forage,pm,0.25417,1,82.600118
21,U,AAD,AAAF,M,Dominant control,1,9,forage,pm,0.25778,10,7.6
22,V,AAD,AAAF,M,Dominant control,1,9,forage,pm,0.24944,15,7.6
23,W,AAD,AAAF,unk,Dominant control,1,9,forage,pm,0.20556,3,7.6
24,X,AAD,AAAF,F,Dominant control,1,9,forage,pm,0.26083,13,7.6
25,Y,AAE,AAAG,F,Dominant treated,1,15,burrow,am,0.22972,0,20.399998
26,Z,AAE,AAAG,F,Dominant treated,1,15,burrow,am,0.07528,0,20.399998
27,AA,AAE,AAAH,F,Dominant control,1,17,forage,am,0.36361,10,2.2
28,AB,AAE,AAAG,M,Dominant treated,1,15,forage,am,0.17972,0,20.399998
29,AC,AAE,AAAH,M,Dominant control,1,17,forage,am,0.26194,2,2.2
30,AD,AAF,AAAI,F,Dominant treated,1,12,forage,am,0.31111,0,44.79999
31,AE,AAF,AAAI,M,Dominant treated,1,12,forage,am,0.39528,1,44.79999
32,AF,AAF,AAAJ,F,Dominant control,1,13,burrow,am,0.08528,0,6
33,AG,AAF,AAAJ,F,Dominant control,1,13,burrow,am,0.0925,0,6
34,AH,AAF,AAAJ,F,Dominant control,1,13,burrow,am,0.09667,0,6
35,AI,AAF,AAAI,F,Dominant treated,1,12,forage,am,0.32028,0,44.79999
36,AJ,AAG,AAAK,F,Dominant control,1,16,burrow,am,0.10944,0,58.799993
37,AK,AAG,AAAK,M,Dominant control,1,16,burrow,am,0.07833,0,58.799993
38,AL,AAG,AAAK,M,Dominant control,1,16,burrow,am,0.12222,0,58.799993
39,AM,AAG,AAAK,M,Dominant control,1,16,burrow,am,0.13806,0,58.799993
40,AN,AAH,AAAL,F,Dominant control,0.9,23,forage,pm,0.21889,0,67.199985
41,AO,AAH,AAAL,F,Dominant control,0.9,23,burrow,pm,0.09389,0,67.199985
42,AP,AAH,AAAL,M,Dominant control,0.9,23,burrow,pm,0.16139,0,67.199985
43,AQ,AAH,AAAL,M,Dominant control,0.9,23,burrow,pm,0.11972,0,67.199985
44,AR,AAI,AAAM,F,Dominant treated,0.9,34,burrow,am,0.10278,0,73.20003
45,AS,AAI,AAAM,F,Dominant treated,0.9,34,burrow,pm,0.01944,0,73.20003
46,AT,AAJ,AAAN,F,Subordinate control,1.5,39,burrow,am,0.075,0,59.999993
47,AU,AAK,AAAO,F,Dominant control,1.1,13,burrow,am,0.05389,1,37.79999
48,AV,AAK,AAAO,M,Dominant control,1.1,13,forage,am,0.34111,7,37.79999
49,AW,AAK,AAAO,M,Dominant control,1.1,13,burrow,am,0.09167,0,37.79999
50,AX,AAL,AAAP,F,Dominant treated,1,33,burrow,am,0.11972,0,6.2
51,AY,AAL,AAAP,F,Dominant treated,1,33,burrow,am,0.14056,0,6.2
52,AZ,AAM/AAN/AAO,AAAQ/AAAR/AAAS,F,Subordinate control,1.4,38,forage,am,0.34639,1,6.000001
53,BA,AAM/AAN/AAO,AAAQ/AAAR/AAAS,F,Subordinate control,1.3,38,burrow,am,0.03639,0,6.000001
54,BB,AAM/AAN/AAO,AAAQ/AAAR/AAAS,F,Subordinate control,1.3,38,forage,am,0.36306,0,6.000001
55,BC,AAM/AAN/AAO,AAAQ/AAAR/AAAS,F,Subordinate control,1.4,38,burrow,am,0.05667,0,6.000001
56,BD,AAL,AAAP,M,Dominant treated,1,33,burrow,am,0.04667,0,6.2
57,BE,AAM/AAN/AAO,AAAQ/AAAR/AAAS,M,Subordinate control,1.5,38,forage,am,0.34611,1,6.000001
58,BF,AAM/AAN/AAO,AAAQ/AAAR/AAAS,M,Subordinate control,1.3,38,forage,am,0.31389,1,6.000001
59,BG,AAM/AAN/AAO,AAAQ/AAAR/AAAS,M,Subordinate control,1.4,38,forage,am,0.34333,1,6.000001
60,BH,AX,AAAT,M,Subordinate control,1,8,burrow,am,0.13361,0,30.799992
61,BI,AX,AAAT,M,Subordinate control,1,8,burrow,am,0.2775,0,30.799992
62,BJ,A,AAAU,F,Subordinate control,1.1,11,burrow,pm,0.08139,0,5.8
63,BK,A,AAAU,F,Subordinate control,1.1,11,burrow,pm,0.10167,0,5.8
64,BL,AAP,AAAV,M,Subordinate control,0.9,8,burrow,am,0.11083,0,44.79999
65,BM,AAQ,AAAW,F,Subordinate control,1.3,22,forage,am,0.53111,6,27.599995
66,BN,AAR,AAAX,M,Dominant control,1.2,23,burrow,am,0.0975,0,65.599985
67,BO,AAQ,AAAW,M,Subordinate control,1.3,22,forage,am,0.55306,1,27.599995
68,BP,AAQ,AAAW,M,Subordinate control,1.3,22,forage,am,0.24083,2,27.599995
69,BQ,AAQ,AAAW,M,Subordinate control,1.3,22,forage,pm,0.26361,3,27.599995
70,BR,AAS,AAAY,F,Dominant control,1.1,12,burrow,am,0.11694,0,60.199988
71,BS,AAS,AAAY,M,Dominant control,1.1,12,burrow,am,0.08417,0,60.199988
72,BT,AAS,AAAY,M,Dominant control,1.1,12,burrow,am,0.09333,2,60.199988
73,BU,AAS,AAAY,M,Dominant control,1.1,12,burrow,am,0.12361,0,60.199988
74,BV,AAT,AAAZ,F,Dominant control,0.9,36,burrow,am,0.11444,0,59.999993
75,BW,AAT,AAAZ,F,Dominant control,0.9,36,burrow,am,0.21278,0,59.999993
76,BX,AAT,AAAZ,M,Dominant control,0.9,36,burrow,am,0.03528,0,59.999993
77,BY,AAT,AAAZ,M,Dominant control,0.9,36,burrow,am,0.11333,0,59.999993
78,BZ,AAT,AAAZ,M,Dominant control,1.1,36,forage,am,0.40028,6,59.999993
79,CA,AAU,AABA,F,Subordinate control,1,25,burrow,am,0.09028,0,8.8
80,CB,AAU,AABA,F,Subordinate control,1,25,forage,am,0.34194,0,8.8
81,CC,AAU,AABA,M,Subordinate control,1,25,burrow,am,0.08722,0,8.8
82,CD,AAV,AABB,M,Dominant control,1.4,14,forage,pm,0.23722,2,6.4
83,CE,AAU,AABA,F,Subordinate control,1,25,burrow,am,0.07639,0,8.8
84,A,AAA,AAAA,F,Subordinate control,1.4,30,forage,am,0.36361,6,13.799999
85,C,AAA,AAAA,M,Subordinate control,1.4,30,forage,am,0.32278,9,13.799999
86,D,AAA,AAAA,M,Subordinate control,1.4,30,forage,am,0.34833,4,13.799999
87,J,AAB,AAAB,M,Dominant control,1.2,37,forage,am,0.31639,0,9.400001
88,Z,AAE,AAAG,F,Dominant treated,1,15,forage,pm,0.49611,1,17.799998
89,AA,AAE,AAAH,F,Dominant control,1.5,17,forage,pm,0.255,0,9.000001
90,AB,AAE,AAAG,M,Dominant treated,1,15,burrow,pm,0.09889,0,17.799998
91,AI,AAF,AAAI,F,Dominant treated,1.1,12,forage,am,0.33778,4,46.79999
92,AJ,AAG,AAAK,F,Dominant control,1.2,16,burrow,pm,0.19556,4,59.999993
93,AK,AAG,AAAK,M,Dominant control,1.1,16,forage,pm,0.26833,14,59.999993
94,AL,AAG,AAAK,M,Dominant control,1.2,16,forage,am,0.54722,6,59.999993
95,AM,AAG,AAAK,M,Dominant control,1.2,16,forage,pm,0.18167,1,59.999993
96,AN,AAH,AAAL,F,Dominant control,1.3,23,burrow,am,0.17472,1,59.999993
97,AP,AAH,AAAL,M,Dominant control,1.3,23,forage,am,0.1625,0,59.999993
98,AQ,AAH,AAAL,M,Dominant control,1.3,23,forage,am,0.13778,1,59.999993
99,AR,AAI,AAAM,F,Dominant treated,1.2,34,forage,pm,0.32389,0,24.99999
100,AS,AAI,AAAM,F,Dominant treated,1.3,39,burrow,am,0.12,0,55.399988
101,AX,AAL,AAAP,F,Dominant treated,1,33,forage,am,0.33139,0,11.4
102,AY,AAL,AAAP,F,Dominant treated,1.2,33,forage,pm,0.4625,4,12.6
103,BD,AAL,AAAP,M,Dominant treated,1.2,33,burrow,am,0.07722,0,12.6
104,BH,AX,AAAT,M,Subordinate control,1.2,8,forage,am,0.32444,5,37.99999
105,BI,AX,AAAT,M,Subordinate control,1.2,8,forage,am,0.33111,0,37.99999
106,BJ,A,AAAU,F,Subordinate control,1.2,11,burrow,pm,0.0925,0,6
107,BK,A,AAAU,F,Subordinate control,1.2,11,forage,pm,0.25194,1,6
108,BL,AAP,AAAV,M,Subordinate control,1,8,burrow,am,0.08861,0,48.79999
109,BN,AAR,AAAX,M,Dominant control,1.2,23,burrow,pm,0.08,0,65.599985
110,BR,AAS,AAAY,F,Dominant control,1.3,12,forage,am,0.39083,3,68.199985
111,BS,AAS,AAAY,M,Dominant control,1.3,12,forage,am,0.39222,2,68.199985
112,BU,AAS,AAAY,M,Dominant control,1.3,12,forage,am,0.41611,1,68.199985
113,BV,AAT,AAAZ,F,Dominant control,1.2,35,forage,am,0.32611,2,59.999993
114,BX,AAT,AAAZ,M,Dominant control,1.2,35,forage,am,0.35139,3,59.999993
115,BY,AAT,AAAZ,M,Dominant control,1.2,35,forage,am,0.24583,7,59.999993
116,CA,AAU,AABA,F,Subordinate control,1.2,25,forage,pm,0.25861,0,10.2
117,CB,AAU,AABA,F,Subordinate control,1.2,25,forage,pm,0.31444,0,10.2
118,CC,AAU,AABA,M,Subordinate control,1.2,25,forage,pm,0.26778,3,10.2
119,CE,AAU,AABA,F,Subordinate control,1.2,25,forage,pm,0.26583,1,10.2
120,D,AAA,AAAA,M,Subordinate control,1.4,30,forage,am,0.3425,3,13.799999
121,J,AAB,AAAB,M,Dominant control,1.2,37,burrow,pm,0.20306,0,9.400001
122,Z,AAE,AAAG,F,Dominant treated,1,15,burrow,pm,0.03222,0,17.799998
123,AI,AAF,AAAI,F,Dominant treated,1.1,12,forage,am,0.34167,3,46.79999
124,AJ,AAG,AAAK,F,Dominant control,1.2,16,forage,pm,0.21306,3,59.999993
125,AK,AAG,AAAK,M,Dominant control,1.2,16,burrow,am,0.02917,0,59.999993
126,AL,AAG,AAAK,M,Dominant control,1.2,16,burrow,pm,0.185,2,59.999993
127,AM,AAG,AAAK,M,Dominant control,1.2,16,burrow,pm,0.115,4,59.999993
128,AR,AAI,AAAM,F,Dominant treated,1.3,39,forage,am,0.5325,0,55.399988
129,AS,AAI,AAAM,F,Dominant treated,1.4,39,burrow,am,0.10806,0,57.399988
130,AX,AAL,AAAP,F,Dominant treated,1.2,33,burrow,am,0.09583,0,12.6
131,AY,AAL,AAAP,F,Dominant treated,1.2,33,burrow,pm,0.09667,0,12.6
132,BD,AAL,AAAP,M,Dominant treated,1.2,33,burrow,am,0.09306,0,12.6
133,BH,AX,AAAT,M,Subordinate control,1.2,8,forage,am,0.33833,2,37.99999
134,BI,AX,AAAT,M,Subordinate control,1.2,8,forage,am,0.33167,0,37.99999
135,BJ,A,AAAU,F,Subordinate control,1.2,11,burrow,pm,0.07972,0,6
136,BK,A,AAAU,F,Subordinate control,1.2,11,burrow,pm,0.08556,0,6
137,BL,AAP,AAAV,M,Subordinate control,1,8,forage,am,0.33611,5,48.79999
138,BN,AAR,AAAX,M,Dominant control,1.2,23,burrow,pm,0.11194,1,65.599985
139,BR,AAS,AAAY,F,Dominant control,1.3,12,forage,pm,0.26222,1,68.199985
140,BS,AAS,AAAY,M,Dominant control,1.3,12,forage,pm,0.25861,3,68.199985
141,BU,AAS,AAAY,M,Dominant control,1.3,12,forage,pm,0.24417,5,68.199985
142,CA,AAU,AABA,F,Subordinate control,1.2,25,forage,pm,0.28833,0,10.2
143,CB,AAU,AABA,F,Subordinate control,1.2,25,burrow,pm,0.03444,0,10.2
144,CC,AAU,AABA,M,Subordinate control,1.2,25,forage,pm,0.275,2,10.2
145,CE,AAU,AABA,F,Subordinate control,1.2,25,forage,pm,0.31694,0,10.2
146,AJ,AAG,AAAK,F,Dominant control,1.2,16,forage,am,0.62222,3,59.999993
147,AK,AAG,AAAK,M,Dominant control,1.2,16,forage,am,0.5025,4,59.999993
148,AL,AAG,AAAK,M,Dominant control,1.2,16,burrow,pm,0.1825,2,59.999993
149,AM,AAG,AAAK,M,Dominant control,1.2,16,burrow,am,0.11056,0,59.999993
150,AR,AAI,AAAM,F,Dominant treated,1.4,39,burrow,am,0.02639,0,57.399988
151,AS,AAI,AAAM,F,Dominant treated,1.4,39,forage,am,0.3825,2,57.399988
152,AX,AAL,AAAP,F,Dominant treated,1.2,33,forage,am,0.28472,0,12.6
153,AY,AAL,AAAP,F,Dominant treated,1.3,33,burrow,am,0.14389,0,12.6
154,BD,AAL,AAAP,M,Dominant treated,1.2,33,forage,am,0.36472,3,12.6
155,BH,AX,AAAT,M,Subordinate control,1.2,8,forage,pm,0.21028,0,37.99999
156,BI,AX,AAAT,M,Subordinate control,1.2,8,forage,pm,0.30806,0,37.99999
157,BL,AAP,AAAV,M,Subordinate control,1,8,forage,am,0.33278,4,48.79999
158,BN,AAR,AAAX,M,Dominant control,1.2,23,burrow,pm,0.1925,0,65.599985
159,BR,AAS,AAAY,F,Dominant control,1.3,12,burrow,pm,0.15972,0,68.199985
160,BS,AAS,AAAY,M,Dominant control,1.3,12,burrow,pm,0.18194,1,68.199985
161,BU,AAS,AAAY,M,Dominant control,1.3,12,burrow,pm,0.1725,1,68.199985
162,CA,AAU,AABA,F,Subordinate control,1.2,25,burrow,pm,0.13417,0,10.2
163,CC,AAU,AABA,M,Subordinate control,1.2,25,burrow,pm,0.04639,0,10.2
164,CE,AAU,AABA,F,Subordinate control,1.2,25,burrow,pm,0.13972,0,10.2
165,AJ,AAG,AAAK,F,Dominant control,1.2,16,forage,pm,0.36778,4,59.999993
166,AK,AAG,AAAK,M,Dominant control,1.2,16,forage,pm,0.28722,3,59.999993
167,AL,AAG,AAAK,M,Dominant control,1.2,16,forage,am,0.51472,8,59.999993
168,AM,AAG,AAAK,M,Dominant control,1.2,16,forage,am,0.48972,5,59.999993
169,AR,AAI,AAAM,F,Dominant treated,1.4,39,burrow,am,0.08472,0,57.399988
170,AS,AAI,AAAM,F,Dominant treated,1.4,39,forage,am,0.56778,4,57.399988
171,AX,AAL,AAAP,F,Dominant treated,1.2,33,forage,am,0.34528,5,12.6
172,AY,AAL,AAAP,F,Dominant treated,1.3,33,forage,am,0.41444,3,12.6
173,BD,AAL,AAAP,M,Dominant treated,1.2,33,forage,pm,0.42111,2,12.6
174,BL,AAP,AAAV,M,Subordinate control,1,8,forage,am,0.325,0,48.79999
175,BN,AAR,AAAX,M,Dominant control,1.2,23,burrow,pm,0.1225,0,65.599985
176,BR,AAS,AAAY,F,Dominant control,1.3,12,burrow,pm,0.09194,0,68.199985
177,BS,AAS,AAAY,M,Dominant control,1.3,12,burrow,pm,0.05861,0,68.199985
178,BU,AAS,AAAY,M,Dominant control,1.4,12,burrow,am,0.06278,0,58.599993
179,AJ,AAG,AAAK,F,Dominant control,1.2,16,forage,pm,0.24889,2,59.999993
180,AK,AAG,AAAK,M,Dominant control,1.2,16,forage,pm,0.19694,1,59.999993
181,AL,AAG,AAAK,M,Dominant control,1.2,16,forage,pm,0.23278,3,59.999993
182,AM,AAG,AAAK,M,Dominant control,1.2,16,forage,pm,0.21111,0,59.999993
183,AR,AAI,AAAM,F,Dominant treated,1.4,39,burrow,am,0.09,0,57.399988
184,AS,AAI,AAAM,F,Dominant treated,1.5,39,burrow,am,0.11417,0,68.399985
185,AX,AAL,AAAP,F,Dominant treated,1.2,33,forage,pm,0.42278,2,12.6
186,AY,AAL,AAAP,F,Dominant treated,1.3,33,forage,am,0.29444,2,12.6
187,BD,AAL,AAAP,M,Dominant treated,1.2,33,burrow,pm,0.15583,2,12.6
188,BL,AAP,AAAV,M,Subordinate control,1,8,forage,am,0.33472,3,48.79999
189,BN,AAR,AAAX,M,Dominant control,1.5,23,burrow,am,0.11972,0,59.999993
190,BR,AAS,AAAY,F,Dominant control,1.4,12,burrow,am,0.06972,0,58.599993
191,BS,AAS,AAAY,M,Dominant control,1.4,12,burrow,am,0.09556,0,58.599993
192,BU,AAS,AAAY,M,Dominant control,1.4,12,forage,am,0.51361,0,58.599993
193,AJ,AAG,AAAK,F,Dominant control,1.2,16,burrow,pm,0.00611,0,59.999993
194,AK,AAG,AAAK,M,Dominant control,1.2,16,burrow,pm,0.1025,0,59.999993
195,AL,AAG,AAAK,M,Dominant control,1.2,16,burrow,pm,0.14306,1,59.999993
196,AM,AAG,AAAK,M,Dominant control,1.2,16,forage,pm,0.18417,1,59.999993
197,AR,AAI,AAAM,F,Dominant treated,1.4,39,forage,am,0.51306,6,57.399988
198,AS,AAI,AAAM,F,Dominant treated,1.5,39,burrow,am,0.10278,0,68.399985
199,AX,AAL,AAAP,F,Dominant treated,1.2,33,burrow,pm,0.145,0,12.6
200,AY,AAL,AAAP,F,Dominant treated,1.3,33,forage,pm,0.2275,2,12.6
201,BD,AAL,AAAP,M,Dominant treated,1.3,33,burrow,am,0.1025,0,12.6
202,BN,AAR,AAAX,M,Dominant control,1.5,23,burrow,am,0.03194,0,59.999993
203,BR,AAS,AAAY,F,Dominant control,1.4,12,forage,am,0.48139,7,58.599993
204,BS,AAS,AAAY,M,Dominant control,1.4,12,forage,am,0.46056,5,58.599993
205,BU,AAS,AAAY,M,Dominant control,1.4,12,forage,pm,0.26778,4,58.599993
206,AK,AAG,AAAK,M,Dominant control,1.2,16,burrow,am,0.075,0,59.999993
207,AL,AAG,AAAK,M,Dominant control,1.2,16,burrow,pm,0.05306,0,59.999993
208,AM,AAG,AAAK,M,Dominant control,1.2,16,burrow,pm,0.07194,0,59.999993
209,AR,AAI,AAAM,F,Dominant treated,1.4,39,forage,am,0.43417,1,57.399988
210,AS,AAI,AAAM,F,Dominant treated,1.5,39,burrow,am,0.12306,0,68.399985
211,AX,AAL,AAAP,F,Dominant treated,1.3,33,burrow,am,0.03389,0,12.6
212,AY,AAL,AAAP,F,Dominant treated,1.3,33,forage,pm,0.16889,1,12.6
213,BD,AAL,AAAP,M,Dominant treated,1.3,33,forage,am,0.33111,1,12.6
214,BN,AAR,AAAX,M,Dominant control,1.5,23,forage,am,0.45139,0,59.999993
215,BR,AAS,AAAY,F,Dominant control,1.4,12,forage,pm,0.24389,6,58.599993
216,BS,AAS,AAAY,M,Dominant control,1.4,12,forage,pm,0.24333,0,58.599993
217,BU,AAS,AAAY,M,Dominant control,1.4,12,burrow,pm,0.18639,0,58.599993
218,AK,AAG,AAAK,M,Dominant control,1.2,16,forage,am,0.49944,6,59.999993
219,AR,AAI,AAAM,F,Dominant treated,1.5,39,burrow,am,0.10528,0,68.399985
220,AS,AAI,AAAM,F,Dominant treated,1.5,39,forage,am,0.51306,3,68.399985
221,AX,AAL,AAAP,F,Dominant treated,1.3,33,forage,am,0.36444,1,12.6
222,AY,AAL,AAAP,F,Dominant treated,1.3,33,burrow,pm,0.04722,0,12.6
223,BD,AAL,AAAP,M,Dominant treated,1.3,33,forage,am,0.35833,5,12.6
224,BN,AAR,AAAX,M,Dominant control,1.5,23,forage,am,0.51,0,59.999993
225,BR,AAS,AAAY,F,Dominant control,1.4,12,burrow,pm,0.17028,2,58.599993
226,BS,AAS,AAAY,M,Dominant control,1.4,12,forage,pm,0.21417,1,58.599993
227,BU,AAS,AAAY,M,Dominant control,1.4,12,burrow,pm,0.10028,0,58.599993
228,AK,AAG,AAAK,M,Dominant control,1.2,16,forage,pm,0.25028,5,59.999993
229,AR,AAI,AAAM,F,Dominant treated,1.5,39,burrow,am,0.08917,0,68.399985
230,AS,AAI,AAAM,F,Dominant treated,1.5,39,forage,am,0.49917,7,68.399985
231,AX,AAL,AAAP,F,Dominant treated,1.3,33,burrow,am,0.06083,0,12.6
232,BD,AAL,AAAP,M,Dominant treated,1.3,33,burrow,pm,0.24694,0,12.6
233,BR,AAS,AAAY,F,Dominant control,1.4,12,burrow,pm,0.08889,0,58.599993
234,AK,AAG,AAAK,M,Dominant control,1.2,16,forage,pm,0.18917,0,59.999993
235,AR,AAI,AAAM,F,Dominant treated,1.5,39,burrow,am,0.10472,0,68.399985
236,AS,AAI,AAAM,F,Dominant treated,1.5,39,forage,pm,0.535,2,68.399985
237,AX,AAL,AAAP,F,Dominant treated,1.3,33,forage,pm,0.2675,0,12.6
238,BD,AAL,AAAP,M,Dominant treated,1.3,33,forage,pm,0.25611,0,12.6
239,A,AAA,AAAA,F,Subordinate control,1.2,30,forage,am,0.34917,0,9.6
240,B,AAA,AAAA,M,Subordinate control,1.2,30,forage,am,0.35389,1,9.6
241,C,AAA,AAAA,M,Subordinate control,1.2,30,forage,am,0.36028,1,9.6
242,D,AAA,AAAA,M,Subordinate control,1.2,30,forage,am,0.33806,2,9.6
243,E,AAB,AAAB,F,Dominant control,1,37,burrow,pm,0.13194,0,17.599998
244,F,AAB,AAAB,F,Dominant control,1.1,37,forage,am,0.30333,0,20.399998
245,G,AAB,AAAB,F,Dominant control,1.1,37,forage,am,0.23111,11,20.399998
246,H,F,AAAC,F,Subordinate control,1,13,burrow,am,0.08611,0,0
247,J,AAB,AAAB,M,Dominant control,1,37,burrow,pm,0.09722,0,17.599998
248,K,AAB,AAAB,M,Dominant control,1.1,37,burrow,am,0.05222,0,20.399998
249,L,F,AAAC,M,Subordinate control,1.1,13,forage,pm,0.23833,1,0
250,M,AAC,AAAD,M,Dominant control,0.9,17,burrow,am,0.0925,0,41.600022
251,N,AAC,AAAE,M,Dominant treated,1,21,burrow,am,0.11,0,78.000117
252,O,AAC,AAAE,M,Dominant treated,1,21,burrow,pm,0.08472,0,78.000117
253,P,AAC,AAAE,M,Dominant treated,1,21,forage,am,0.2475,0,78.000117
254,Q,F,AAAC,M,Subordinate control,1.1,13,forage,pm,0.24194,0,0
255,R,AAC,AAAD,M,Dominant control,0.9,17,burrow,am,0.09306,0,41.600022
256,T,AAC,AAAE,M,Dominant treated,1,21,forage,am,0.35,0,78.000117
257,U,AAD,AAAF,M,Dominant control,1,9,forage,pm,0.25139,2,7.6
258,V,AAD,AAAF,M,Dominant control,1,9,forage,pm,0.25917,3,7.6
259,W,AAD,AAAF,unk,Dominant control,1,9,forage,pm,0.06972,1,7.6
260,X,AAD,AAAF,F,Dominant control,1,9,forage,pm,0.25083,5,7.6
261,Y,AAE,AAAG,F,Dominant treated,1,15,forage,am,0.44778,0,20.399998
262,Z,AAE,AAAG,F,Dominant treated,1,15,forage,am,0.35611,0,20.399998
263,AA,AAE,AAAH,F,Dominant control,1,17,forage,am,0.27639,1,2.2
264,AB,AAE,AAAG,M,Dominant treated,1,15,forage,am,0.36694,0,20.399998
265,AC,AAE,AAAH,M,Dominant control,1,17,burrow,am,0.09722,0,2.2
266,AD,AAF,AAAI,F,Dominant treated,1.1,12,forage,pm,0.32417,0,48.79999
267,AE,AAF,AAAI,M,Dominant treated,1,12,forage,am,0.31056,1,44.79999
268,AF,AAF,AAAJ,F,Dominant control,1,13,burrow,am,0.08889,0,6
269,AG,AAF,AAAJ,F,Dominant control,1,13,burrow,am,0.08944,0,6
270,AH,AAF,AAAJ,F,Dominant control,1,13,burrow,am,0.08861,0,6
271,AI,AAF,AAAI,F,Dominant treated,1,12,forage,am,0.325,1,44.79999
272,AJ,AAG,AAAK,F,Dominant control,1,16,forage,am,0.17194,0,58.799993
273,AK,AAG,AAAK,M,Dominant control,1,16,burrow,am,0.13194,0,58.799993
274,AL,AAG,AAAK,M,Dominant control,1,16,burrow,am,0.10917,0,58.799993
275,AM,AAG,AAAK,M,Dominant control,1,16,burrow,am,0.16833,0,58.799993
276,AN,AAH,AAAL,F,Dominant control,0.9,23,burrow,pm,0.105,0,67.199985
277,AO,AAH,AAAL,F,Dominant control,1.1,23,burrow,pm,0.11694,0,76.199982
278,AP,AAH,AAAL,M,Dominant control,1.1,23,burrow,pm,0.05389,0,76.199982
279,AQ,AAH,AAAL,M,Dominant control,0.9,23,burrow,pm,0.11222,0,67.199985
280,AR,AAI,AAAM,F,Dominant treated,0.9,34,burrow,pm,0.11028,0,73.20003
281,AS,AAI,AAAM,F,Dominant treated,0.9,34,burrow,pm,0.045,0,73.20003
282,AT,AAJ,AAAN,F,Subordinate control,1.5,39,forage,am,0.47194,4,59.999993
283,AU,AAK,AAAO,F,Dominant control,1.1,13,forage,am,0.34611,8,37.79999
284,AV,AAK,AAAO,M,Dominant control,1.1,13,forage,am,0.34389,5,37.79999
285,AW,AAK,AAAO,M,Dominant control,1.1,13,forage,am,0.34111,0,37.79999
286,AX,AAL,AAAP,F,Dominant treated,1,33,forage,am,0.35528,1,6.2
287,AY,AAL,AAAP,F,Dominant treated,1,33,forage,am,0.35333,0,6.2
288,AZ,AAM/AAN/AAO,AAAQ/AAAR/AAAS,F,Subordinate control,1.4,38,forage,pm,0.26611,5,6.000001
289,BA,AAM/AAN/AAO,AAAQ/AAAR/AAAS,F,Subordinate control,1.3,38,forage,am,0.35,0,6.000001
290,BB,AAM/AAN/AAO,AAAQ/AAAR/AAAS,F,Subordinate control,1.3,38,forage,pm,0.26722,1,6.000001
291,BC,AAM/AAN/AAO,AAAQ/AAAR/AAAS,F,Subordinate control,1.4,38,forage,am,0.3275,2,6.000001
292,BD,AAL,AAAP,M,Dominant treated,1,33,forage,am,0.30222,2,6.2
293,BF,AAM/AAN/AAO,AAAQ/AAAR/AAAS,M,Subordinate control,1.3,38,forage,pm,0.25111,0,6.000001
294,BG,AAM/AAN/AAO,AAAQ/AAAR/AAAS,M,Subordinate control,1.4,38,forage,pm,0.26472,2,6.000001
295,BH,AX,AAAT,M,Subordinate control,1,8,burrow,am,0.15917,0,30.799992
296,BI,AX,AAAT,M,Subordinate control,1,8,burrow,am,0.1875,0,30.799992
297,BJ,A,AAAU,F,Subordinate control,1.1,11,burrow,pm,0.08583,0,5.8
298,BK,A,AAAU,F,Subordinate control,1.1,11,burrow,pm,0.10917,0,5.8
299,BL,AAP,AAAV,M,Subordinate control,0.9,8,burrow,am,0.08833,0,44.79999
300,BM,AAQ,AAAW,F,Subordinate control,1.3,22,burrow,pm,0.13611,0,27.599995
301,BN,AAR,AAAX,M,Dominant control,1.2,23,burrow,am,0.12056,0,65.599985
302,BO,AAQ,AAAW,M,Subordinate control,1.3,22,burrow,pm,0.10889,0,27.599995
