,kmp.id.nospace,mom.id,litter,sex,X3.way,age.months.cont,group.size,location1,am.pm,obs.time.hr,i.aggr.all,Total.monthly.rainfall
1189,AR,AAI,AAAM,F,Dominant treated,2.3,33,burrow,pm,0.02333,0,29.599995
1190,BS,AAS,AAAY,M,Dominant control,2.3,10,forage,pm,0.55861,8,20.399998
1191,BX,AAT,AAAZ,M,Dominant control,2.3,35,forage,pm,0.24028,0,12.6
1192,CE,AAU,AABA,F,Subordinate control,2.1,25,forage,pm,0.04389,0,11.799999
1193,CC,AAU,AABA,M,Subordinate control,2.1,25,forage,pm,0.25417,2,11.799999
1194,A,AAA,AAAA,F,Subordinate control,2.2,29,burrow,am,0.09806,0,11.199999
1195,C,AAA,AAAA,M,Subordinate control,2.2,29,burrow,am,0.07944,0,11.199999
1196,D,AAA,AAAA,M,Subordinate control,2.2,29,burrow,am,0.1025,0,11.199999
1197,H,F,AAAC,F,Subordinate control,1.9,12,forage,pm,0.23917,0,5
1198,I,AAC,AAAD,F,Dominant control,2,17,forage,am,0.32528,2,37.99999
1199,CF,AAB,AABC,M,Dominant control,2,32,forage,am,0.35778,1,4.2
1200,Q,F,AAAC,M,Subordinate control,1.9,12,burrow,pm,0.09917,0,5
1201,L,F,AAAC,M,Subordinate control,1.9,12,forage,pm,0.35861,1,5
1202,R,AAC,AAAD,M,Dominant control,2,17,forage,am,0.31917,0,37.99999
1203,S,AAC,AAAD,M,Dominant control,2,17,forage,am,0.33722,0,37.99999
1204,M,AAC,AAAD,M,Dominant control,2,17,forage,am,0.33556,2,37.99999
1205,N,AAC,AAAE,M,Dominant treated,2.1,20,burrow,am,0.10139,0,5.8
1206,T,AAC,AAAE,M,Dominant treated,2.1,20,forage,am,0.33306,0,5.8
1207,O,AAC,AAAE,M,Dominant treated,2.1,20,burrow,am,0.07806,0,5.8
1208,P,AAC,AAAE,M,Dominant treated,2.1,20,burrow,am,0.08861,0,5.8
1209,CG,AR,AABD,F,Subordinate control,1.9,22,burrow,am,0.1125,2,13.999998
1210,CH,AR,AABD,M,Subordinate control,1.9,22,burrow,am,0.11694,0,13.999998
1211,X,AAD,AAAF,F,Dominant control,1.9,5,forage,am,0.33056,0,2.6
1212,Y,AAE,AAAG,F,Dominant treated,2.1,15,burrow,am,0.09472,0,10.2
1213,Z,AAE,AAAG,F,Dominant treated,2.1,15,forage,am,0.345,0,10.2
1214,AA,AAE,AAAH,F,Dominant control,1.6,15,forage,am,0.30833,3,8.200001
1215,AB,AAE,AAAG,M,Dominant treated,2.1,15,burrow,am,0.08583,0,10.2
1216,AF,AAF,AAAJ,F,Dominant control,1.9,11,forage,am,0.33639,0,34.200022
1217,AG,AAF,AAAJ,F,Dominant control,1.9,11,forage,am,0.32889,0,34.200022
1218,AH,AAF,AAAJ,F,Dominant control,1.9,11,forage,am,0.3325,0,34.200022
1219,AI,AAF,AAAI,F,Dominant treated,1.9,12,forage,am,0.33,1,106.000108
1220,AD,AAF,AAAI,F,Dominant treated,1.9,12,forage,am,0.33194,0,106.000108
1221,AE,AAF,AAAI,M,Dominant treated,1.9,12,forage,am,0.35667,0,106.000108
1222,AJ,AAG,AAAK,F,Dominant control,1.9,15,forage,am,0.36167,3,8.2
1223,AK,AAG,AAAK,M,Dominant control,1.9,15,forage,am,0.41639,7,8.2
1224,AM,AAG,AAAK,M,Dominant control,2,15,forage,pm,0.35222,4,6.2
1225,CI,AR,AABD,F,Subordinate control,1.9,22,burrow,am,0.10167,0,13.999998
1226,AN,AAH,AAAL,F,Dominant control,2,17,burrow,am,0.035,0,20.399998
1227,AO,AAH,AAAL,F,Dominant control,2.1,20,forage,pm,0.36278,1,9.400001
1228,CJ,AAW,AABE,F,Subordinate control,1.9,19,forage,am,0.32667,7,6.000001
1229,CK,AAW,AABE,F,Subordinate control,1.9,19,forage,am,0.38,4,6.000001
1230,CL,AN,AABF,F,Subordinate control,1.8,12,forage,am,0.33056,1,2.4
1231,AP,AAH,AAAL,M,Dominant control,1.9,17,forage,pm,0.51361,6,18.399998
1232,AQ,AAH,AAAL,M,Dominant control,1.9,17,forage,pm,0.41972,3,18.399998
1233,CM,AAW,AABE,M,Subordinate control,1.9,19,forage,am,0.335,7,6.000001
1234,CN,AAW,AABE,M,Subordinate control,1.9,19,forage,am,0.34361,4,6.000001
1235,CO,AN,AABF,M,Subordinate control,1.8,12,forage,am,0.32694,5,2.4
1236,CP,AN,AABF,M,Subordinate control,1.8,12,forage,am,0.33111,2,2.4
1237,CQ,AN,AABF,M,Subordinate control,1.8,12,forage,am,0.32472,6,2.4
1238,AR,AAI,AAAM,F,Dominant treated,2,32,forage,am,0.54639,0,59.999993
1239,AS,AAI,AAAM,F,Dominant treated,2,32,forage,am,0.55361,7,59.999993
1240,AT,AAJ,AAAN,F,Subordinate control,1.7,33,forage,am,0.43028,0,29.599995
1241,AU,AAK,AAAO,F,Dominant control,2,5,burrow,am,0.09056,0,21.999998
1242,AV,AAK,AAAO,M,Dominant control,2,5,burrow,am,0.09,0,21.999998
1243,AX,AAL,AAAP,F,Dominant treated,1.9,33,forage,am,0.35917,4,13.799999
1244,AY,AAL,AAAP,F,Dominant treated,1.9,33,forage,am,0.37667,1,13.799999
1245,AZ,AAM/AAN/AAO,AAAQ/AAAR/AAAS,F,Subordinate control,2.2,34,forage,pm,0.25333,0,11.600001
1246,BA,AAM/AAN/AAO,AAAQ/AAAR/AAAS,F,Subordinate control,2.1,34,forage,pm,0.25444,0,11.600001
1247,BB,AAM/AAN/AAO,AAAQ/AAAR/AAAS,F,Subordinate control,2.1,34,forage,pm,0.15694,0,11.600001
1248,BC,AAM/AAN/AAO,AAAQ/AAAR/AAAS,F,Subordinate control,2.2,34,burrow,pm,0.06611,0,11.600001
1249,BD,AAL,AAAP,M,Dominant treated,1.9,33,forage,am,0.38694,0,13.799999
1250,BE,AAM/AAN/AAO,AAAQ/AAAR/AAAS,M,Subordinate control,2.3,34,forage,pm,0.24806,1,11.600001
1251,BF,AAM/AAN/AAO,AAAQ/AAAR/AAAS,M,Subordinate control,2.3,32,forage,pm,0.21611,1,8.8
1252,BG,AAM/AAN/AAO,AAAQ/AAAR/AAAS,M,Subordinate control,2.2,34,forage,pm,0.115,0,11.600001
1253,BH,AX,AAAT,M,Subordinate control,1.9,7,forage,am,0.3325,4,26.399998
1254,BI,AX,AAAT,M,Subordinate control,1.9,7,forage,am,0.33944,0,26.399998
1255,BJ,A,AAAU,F,Subordinate control,2,8,burrow,pm,0.00417,0,34.200022
1256,BK,A,AAAU,F,Subordinate control,2,8,burrow,pm,0.12611,1,34.200022
1257,BM,AAQ,AAAW,F,Subordinate control,1.5,22,forage,pm,0.24583,2,17.599998
1258,BN,AAR,AAAX,M,Dominant control,1.9,22,forage,am,0.19667,2,27.599995
1259,BO,AAQ,AAAW,M,Subordinate control,1.6,22,burrow,am,0.07778,0,20.399998
1260,BP,AAQ,AAAW,M,Subordinate control,1.5,22,burrow,pm,0.07667,0,17.599998
1261,BQ,AAQ,AAAW,M,Subordinate control,1.5,22,forage,pm,0.18861,10,17.599998
1262,BR,AAS,AAAY,F,Dominant control,2,9,forage,am,0.1675,0,27.599995
1263,BS,AAS,AAAY,M,Dominant control,2,9,forage,am,0.26556,0,27.599995
1264,BU,AAS,AAAY,M,Dominant control,2,9,forage,am,0.16278,0,27.599995
1265,BW,AAT,AAAZ,F,Dominant control,2,34,burrow,am,0.01417,0,9
1266,CR,AAX,AABG,F,Dominant control,1.9,12,forage,am,0.33306,2,45.799989
1267,CS,AAX,AABG,F,Dominant control,1.9,12,forage,am,0.23389,0,45.799989
1268,CT,AAX,AABG,F,Dominant control,1.9,12,forage,am,0.26333,2,45.799989
1269,CU,AAX,AABG,F,Dominant control,1.9,12,forage,am,0.32389,2,45.799989
1270,BX,AAT,AAAZ,M,Dominant control,2,34,burrow,am,0.10528,0,9
1271,BY,AAT,AAAZ,M,Dominant control,2,34,burrow,am,0.0875,0,9
1272,BZ,AAT,AAAZ,M,Dominant control,1.9,34,burrow,pm,0.12389,0,6.2
1273,CV,AAX,AABG,M,Dominant control,1.9,12,forage,am,0.34278,0,45.799989
1274,CA,AAU,AABA,F,Subordinate control,1.8,25,burrow,am,0.0875,0,11.999999
1275,CB,AAU,AABA,F,Subordinate control,1.8,25,burrow,am,0.08944,0,11.999999
1276,CE,AAU,AABA,F,Subordinate control,1.8,25,burrow,am,0.0975,0,11.999999
1277,CW,CB,AABH,F,Subordinate control,1.8,9,forage,am,0.34667,1,56.400107
1278,CC,AAU,AABA,M,Subordinate control,1.8,25,burrow,am,0.08639,0,11.999999
1279,CX,CB,AABH,M,Subordinate control,1.8,9,forage,am,0.3325,3,56.400107
1280,CY,CB,AABH,M,Subordinate control,1.8,9,forage,am,0.33806,2,56.400107
1281,CG,AR,AABD,F,Subordinate control,2.1,22,forage,pm,0.25056,2,13.999998
1282,CH,AR,AABD,M,Subordinate control,2,22,burrow,pm,0.07611,0,13.999998
1283,BX,AAT,AAAZ,M,Dominant control,2.3,35,burrow,pm,0.07139,0,12.6
1284,CE,AAU,AABA,F,Subordinate control,2.1,25,burrow,pm,0.0175,0,11.799999
1285,CC,AAU,AABA,M,Subordinate control,2.1,25,forage,pm,0.08278,0,11.799999
1286,CH,AR,AABD,M,Subordinate control,2.1,22,forage,pm,0.24972,0,13.999998
1287,A,AAA,AAAA,F,Subordinate control,2.2,29,forage,am,0.33694,1,11.199999
1288,C,AAA,AAAA,M,Subordinate control,2.2,29,forage,am,0.35167,2,11.199999
1289,D,AAA,AAAA,M,Subordinate control,2.2,29,forage,am,0.33778,0,11.199999
1290,H,F,AAAC,F,Subordinate control,2,11,burrow,am,0.07972,0,5.8
1291,I,AAC,AAAD,F,Dominant control,2.2,17,forage,am,0.33861,0,40.79999
1292,CF,AAB,AABC,M,Dominant control,2,32,forage,am,0.28139,1,4.2
1293,Q,F,AAAC,M,Subordinate control,1.9,12,forage,pm,0.25806,0,5
1294,L,F,AAAC,M,Subordinate control,2,11,burrow,am,0.10333,0,5.8
